aa_int1,aa_int2,aa_int3,aa_quiz1,aa_quiz2,aa_quiz3,aa_quiz4,aa_quiz5,aa_int4,aa_int5,aa_norms,aa_past,aa_regret,ai_int1,ai_int2,ai_int3,ai_quiz1,ai_quiz2,ai_quiz3,ai_quiz4,ai_quiz5,ai_int4,ai_int5,ai_norms,ai_past,ai_regret,ia_int1,ia_int2,ia_int3,ia_quiz1,ia_quiz2,ia_quiz3,ia_quiz4,ia_quiz5,ia_int4,ia_int5,ia_norms,ia_past,ia_regret,ii_int1,ii_int2,ii_int3,ii_quiz1,ii_quiz2,ii_quiz3,ii_quiz4,ii_quiz5,ii_int4,ii_int5,ii_norms,ii_past,ii_regret,ca_int1,ca_int2,ca_int3,ca_quiz1,ca_quiz2,ca_quiz3,ca_quiz4,ca_quiz5,ca_int4,ca_int5,ca_norms,ca_past,ca_regret,ci_int1,ci_int2,ci_int3,ci_quiz1,ci_quiz2,ci_quix3,ci_quiz4,ci_quiz5,ci_int4,ci_int5,ci_norms,ci_past,ci_regret,age,gender
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,2,6,2, , , , , , , , , , , , , ,54,2
1,1,1,1,1,2,1,1,1,1,5,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,52,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,1,1,4,25,1
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,6,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,4,3,2,54,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , ,26,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,3,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,31,1
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,6,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21,1
1,1,1,1,1,2,1,1,1,1,4,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,3,3,3, , , , , , , , , , , , , ,33,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,4,4,3, , , , , , , , , , , , , ,59,2
1,1,1,1,1,2,1,1,1,1,6,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34,1
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,1,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,5,2,3,75,2
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,6,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,3,1,6,41,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , ,31,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,3,5,2, , , , , , , , , , , , , ,41,2
1,1,1,1,1,2,1,1,1,1,6,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,57,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,1,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,36,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,3,3,3,30,2
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,6,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23,2
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,39,2
1,1,1,1,1,2,1,1,1,1,4,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,48,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,3,4,5, , , , , , , , , , , , , ,38,1
 , , , , , , , , , , , , ,1,1,1,1,2,2,1,1,1,1,5,3,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,2,1,1,1,1,1,1,3,19,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,2,1,1,1,1,5,5,2, , , , , , , , , , , , , ,44,1
 , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,5,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31,2
